"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-06-30","OR",204,,2,,1025,1025,151,3,,44,226648,7119,,,341441,,25,8485,,144,0,,,,,18222,2700,,0,359663,5744,,,,,234769,18425,359663,5744
"2020-06-30","PA",6649,,35,,,,634,0,,,677581,10680,,,,,110,86606,84130,618,0,,,,,,67552,926219,14219,926219,14219,,,,,761711,11281,,0
"2020-06-30","PR",153,59,0,94,,,102,0,,9,192686,0,,,191601,,2,1693,1693,55,0,5772,,,,2627,,,0,194379,55,,,,,,0,194324,0
"2020-06-30","RI",950,,4,,2001,2001,74,6,,13,137172,974,,,227493,,13,16911,,40,0,,,,,24143,,255154,3756,255154,3756,,,,,154083,1014,251636,1940
"2020-06-30","SC",739,735,19,4,2854,2854,1021,232,,,344173,9512,36224,,334069,,,36399,36297,1755,0,1796,,,,46401,15471,,0,380572,11267,38020,,,,,0,380470,11263
"2020-06-30","SD",91,,0,,666,666,62,9,,,73324,583,,,,,,6764,,48,0,,,,,11527,5872,,0,92082,463,,,,,80088,631,92082,463
"2020-06-30","TN",604,578,12,26,2665,2665,886,66,,,,0,,,742366,,,43509,43161,1212,0,,,,,50413,27599,,0,792779,15921,,,,,,0,792779,15921
"2020-06-30","TX",2424,,21,,,,6533,0,,1993,,0,,,,,,159986,159986,6975,0,7116,2219,,,272296,84818,,0,2418365,91085,192657,11113,,,,0,2418365,91085
"2020-06-30","UT",172,,4,,1444,1444,250,27,406,83,330245,5180,,,387132,178,,22217,,553,0,,33,,31,25556,12398,,0,412688,7237,,163,,142,353309,5897,412688,7237
"2020-06-30","VA",1763,1658,23,105,6203,6203,902,39,,230,,0,,,,,98,62787,60124,598,0,4276,157,,,74344,,655404,9645,655404,9645,77190,254,,,,0,,0
"2020-06-30","VI",6,,0,,,,,0,,,2819,73,,,,,,84,,3,0,,,,,,73,,0,2903,76,,,,,2907,49,,0
"2020-06-30","VT",56,56,0,,,,16,0,,,62736,766,,,,,,1210,1210,0,0,,,,,,953,,0,77029,1054,,,,,63946,766,77029,1054
"2020-06-30","WA",1320,1320,10,,4323,4323,395,48,,,,0,,,,,50,34680,34675,266,0,,,,,,,679784,17729,679784,17729,,,,,548220,13777,,0
"2020-06-30","WI",784,777,0,7,3446,3446,242,39,750,79,539539,12180,,,,,,31662,28659,629,0,,,,,,22587,697998,10772,697998,10772,,,,,568198,12781,,0
"2020-06-30","WV",93,,0,,,,27,0,,10,,0,,,,,3,2905,2804,35,0,,,,,,2272,,0,169086,2536,9777,,,,,0,169086,2536
"2020-06-30","WY",20,,0,,117,117,6,5,,,32185,1779,,,48890,,,1487,1184,37,0,,,,,1397,1097,,0,50287,1620,,,,,33369,1884,50287,1620
"2020-06-29","AK",14,14,0,,68,68,16,0,,,,0,,,,,1,908,,21,0,,,,,,525,,0,108709,409,,,,,,0,108709,409
"2020-06-29","AL",929,905,10,24,2725,2725,726,22,801,,356118,5279,,,,457,,37175,36682,1734,0,,,,,,18866,,0,392800,6997,,,,,392800,6997,,0
"2020-06-29","AR",265,,6,,1380,1380,300,7,,,282279,10367,,,,211,63,20257,20257,947,0,,,,,,14066,,0,302536,11314,,,,,,0,302536,11314
"2020-06-29","AS",0,,0,,,,,0,,,696,0,,,,,,0,0,0,0,,,,,,,,0,696,0,,,,,,0,696,0
"2020-06-29","AZ",1588,1488,0,100,4634,4634,2721,17,,679,436890,902,,,,,465,74533,74119,625,0,,,,,,,,0,733199,9565,199719,,166748,,511009,1524,733199,9565
"2020-06-29","CA",5936,,31,,,,6179,0,,1686,,0,,,,,,219252,219252,8009,0,,,,,,,,0,4061692,105740,,,,,,0,4061692,105740
"2020-06-29","CO",1682,1350,6,332,5442,5442,271,41,,,291346,4088,98921,,,,,32511,29651,204,0,6940,,,,,,388813,5462,388813,5462,105861,,,,320997,4263,,0
"2020-06-29","CT",4320,3451,4,869,10268,10268,99,0,,,,0,,,433199,,,46362,44384,59,0,,,,,57346,8053,,0,492033,3843,,,,,,0,492033,3843
"2020-06-29","DC",551,,1,,,,121,0,,34,,0,,,,,23,10292,,44,0,,,,,,1200,95360,2228,95360,2228,,,,,74575,1792,,0
"2020-06-29","DE",507,449,0,58,,,72,0,,15,98555,3435,,,,,,11376,10306,150,0,,,,,14070,6665,140226,4839,140226,4839,,,,,109931,3585,,0
"2020-06-29","FL",3546,3546,28,,14651,14651,,111,,,1766402,25580,,226699,2106109,,,143862,,5363,0,,,9575,,189183,,2082221,37707,2082221,37707,,,236304,,1914151,30907,2299430,43116
"2020-06-29","GA",2784,,6,,10824,10824,1359,113,2289,,,0,,,,,,79417,79417,2207,0,8529,,,,73044,,,0,822641,16179,157375,,,,,0,822641,16179
"2020-06-29","GU",5,,0,,,,0,0,,,12659,529,,,,,,255,247,7,0,2,,,,,179,,0,12914,536,128,,,,,0,12841,1318
"2020-06-29","HI",18,18,0,,111,111,,1,,,76256,1650,,,,,,899,,27,0,,,,,859,719,89358,1901,89358,1901,,,,,77155,1677,89866,1984
"2020-06-29","IA",708,,3,,,,119,0,,35,272063,4637,,29858,,,18,28782,28782,293,0,,,2282,,,17851,,0,300845,4930,,,32172,,301263,4928,,0
"2020-06-29","ID",91,71,0,20,312,312,50,0,111,17,81026,0,,,,,,5319,4790,0,0,,,,,,3898,,0,85816,0,,,,,85816,0,,0
"2020-06-29","IL",7103,6902,14,201,,,1501,0,,372,,0,,,,,187,143514,142461,738,0,,,,,,,,0,1571896,26918,,,,,,0,1571896,26918
"2020-06-29","IN",2624,2432,5,192,7024,7024,626,21,1469,265,431291,5686,,,,,85,45228,,298,0,,,,,47156,,,0,603189,3768,,,,,476519,5984,603189,3768
"2020-06-29","KS",270,,6,,1152,1152,,24,360,,162282,7961,,,,152,,14443,,905,0,,,,,,,,0,176725,8866,,,,,176348,8800,,0
"2020-06-29","KY",560,557,2,3,2602,2602,381,12,999,69,,0,,,,,,15347,14835,115,0,,,,,,3939,,0,360929,3001,33844,,,,,0,360929,3001
"2020-06-29","LA",3199,3091,0,108,,,737,0,,,647556,7681,,,,,79,57081,57081,845,0,,,,,,42225,,0,704637,8526,,,,,,0,704637,8526
"2020-06-29","MA",8095,7895,35,200,11345,11345,762,26,,138,733519,6392,,,,,79,108768,103628,101,0,,,,,137252,93157,,0,1087438,16112,,,70768,,837147,6481,1087438,16112
"2020-06-29","MD",3175,3048,7,127,10822,10822,447,29,,160,462059,9363,,,,,,67254,67254,477,0,,,,,78273,4979,,0,638337,12536,,,,,529313,9840,638337,12536
"2020-06-29","ME",105,104,1,1,347,347,31,1,,8,,0,7023,,,,4,3219,2863,28,0,327,,,,3565,2623,,0,94568,1238,7359,,,,,0,94568,1238
"2020-06-29","MI",6161,5915,3,246,,,557,0,,193,,0,,,959152,,106,70223,63497,277,0,,,,,87393,51099,,0,1046545,12725,158486,,,,,0,1046545,12725
"2020-06-29","MN",1470,1435,10,35,4031,4031,278,21,1249,140,557094,7226,,,,,,35861,35861,312,0,,,,,,31225,592955,7538,592955,7538,,,,,,0,,0
"2020-06-29","MO",998,,1,,,,599,0,,,346363,5765,,40851,399926,,,21043,21043,468,0,,,1537,,23527,,,0,424214,0,,,42388,,367406,6233,424214,0
"2020-06-29","MP",2,,0,,,,,0,,,8187,0,,,,,,30,30,0,0,,,,,,19,,0,8217,0,,,,,,0,8217,0
"2020-06-29","MS",1059,1042,20,17,3115,3115,719,13,,158,256955,2659,,,,,93,26567,26400,675,0,,,,,,19388,,0,283522,3334,11922,,,,,0,283355,3335
"2020-06-29","MT",22,,0,,100,100,13,3,,,,0,,,,,,919,,56,0,,,,,,609,,0,88743,6269,,,,,,0,88743,6269
"2020-06-29","NC",1325,1325,3,,,,843,0,,,,0,,,,,,63484,63484,1342,0,,,,,,,,0,860664,17548,,,,,,0,860664,17548
"2020-06-29","ND",88,,0,,227,227,25,1,,,102152,1722,4702,,,,,3534,3534,46,0,180,,,,,3163,176775,3292,176775,3292,4882,,,,103122,1703,180564,3364
"2020-06-29","NE",267,,0,,1316,1316,117,1,,,156373,2350,,,193600,,,18899,,124,0,,,,,23011,13322,,0,217232,2936,,,,,175484,2475,217232,2936
"2020-06-29","NH",367,,0,,565,565,34,0,162,,112538,955,,,,,,5760,,13,0,,,,,,4435,,0,149399,2117,21684,,19051,,118298,968,149399,2117
"2020-06-29","NJ",14901,13138,19,1763,19847,19847,978,6,,225,1232712,16061,,,,,185,172199,171272,106,0,,,,,,,,0,1404911,16167,,,,,,0,1403984,16151
"2020-06-29","NM",493,,1,,1876,1876,119,11,,,,0,,,,,,11982,,173,0,,,,,,5296,,0,337720,6672,,,,,,0,337720,6672
"2020-06-29","NV",504,,4,,,,555,0,,124,255123,4703,,,,,65,17894,17894,734,0,,,,,,,339414,2719,339414,2719,,,,,271397,5459,314388,7257
"2020-06-29","NY",24842,,7,,,,853,0,,216,,0,,,,,136,392930,,391,0,,,,,,,3862913,46428,3862913,46428,,,,,,0,,0
"2020-06-29","OH",2818,2575,11,243,7746,7746,669,65,1961,245,,0,,,,,115,51046,47524,737,0,,,,,55916,,,0,811992,17764,,,,,,0,811992,17764
"2020-06-29","OK",385,,0,,1489,1489,329,33,,134,313021,0,,,313021,,,13172,13172,228,0,1171,,,,13941,9587,,0,326193,228,34490,,,,,0,327683,0
"2020-06-29","OR",202,,0,,1022,1022,149,0,,53,219529,0,,,335952,,35,8341,,247,0,,,,,17967,2649,,0,353919,7083,,,,,216344,0,353919,7083
"2020-06-29","PA",6614,,35,,,,635,0,,,666901,9415,,,,,111,85988,83529,492,0,,,,,,67070,912000,13811,912000,13811,,,,,750430,33763,,0
"2020-06-29","PR",153,59,0,94,,,104,0,,8,192686,79406,,,191601,,1,1638,1638,14,0,5612,,,,2627,,,0,194324,79420,,,,,,0,194324,79601
"2020-06-29","RI",946,,19,,1995,1995,73,11,,15,136198,1320,,,225612,,14,16871,,36,0,,,,,24084,,251398,1486,251398,1486,,,,,153069,1356,249696,3706
"2020-06-29","SC",720,717,4,3,2622,2622,1032,0,,,334661,8179,35882,,324966,,,34644,34546,1324,0,1772,,,,44241,13456,,0,369305,9503,37654,,,,,0,369207,9504
"2020-06-29","SD",91,,0,,657,657,70,5,,,72741,529,,,,,,6716,,35,0,,,,,11497,5818,,0,91619,1195,,,,,79457,564,91619,1195
"2020-06-29","TN",592,568,8,24,2599,2599,839,35,,,,0,,,727985,,,42297,41949,2125,0,,,,,48873,26962,,0,776858,28629,,,,,,0,776858,28629
"2020-06-29","TX",2403,,10,,,,5913,0,,1894,,0,,,,,,153011,153011,4288,0,6973,2000,,,254258,81335,,0,2327280,30546,187535,10346,,,,0,2327280,30546
"2020-06-29","UT",168,,1,,1417,1417,254,21,394,80,325065,5176,,,380698,170,,21664,,564,0,,29,,28,24753,12205,,0,405451,6810,,159,,139,347412,5672,405451,6810
"2020-06-29","VA",1740,1635,8,105,6164,6164,796,28,,225,,0,,,,,101,62189,59522,453,0,4257,147,,,73788,,645759,9045,645759,9045,76969,244,,,,0,,0
"2020-06-29","VI",6,,0,,,,,0,,,2746,0,,,,,,81,,0,0,,,,,,71,,0,2827,0,,,,,2858,0,,0
"2020-06-29","VT",56,56,0,,,,13,0,,,61970,1091,,,,,,1210,1210,6,0,,,,,,949,,0,75975,1439,,,,,63180,1097,75975,1439
"2020-06-29","WA",1310,1310,0,,4275,4275,387,35,,,,0,,,,,52,34414,34409,493,0,,,,,,,662055,17616,662055,17616,,,,,534443,8641,,0
"2020-06-29","WI",784,777,7,7,3407,3407,236,14,747,90,527359,5612,,,,,,31033,28058,326,0,,,,,,22217,687226,13191,687226,13191,,,,,555417,5927,,0
"2020-06-29","WV",93,,0,,,,28,0,,5,,0,,,,,3,2870,2771,53,0,,,,,,2196,,0,166550,1267,9637,,,,,0,166550,1267
"2020-06-29","WY",20,,0,,112,112,7,0,,,30406,0,,,47299,,,1450,1151,33,0,,,,,1368,1070,,0,48667,1981,,,,,31485,0,48667,1981
"2020-06-28","AK",14,14,0,,68,68,12,1,,,,0,,,,,1,887,,29,0,,,,,,521,,0,108300,2719,,,,,,0,108300,2719
"2020-06-28","AL",919,898,0,21,2703,2703,650,6,790,,350839,1896,,,,454,,35441,34964,358,0,,,,,,18866,,0,385803,1777,,,,,385803,1777,,0
"2020-06-28","AR",259,,10,,1373,1373,278,36,,,271912,6687,,,,210,63,19310,19310,570,0,,,,,,13270,,0,291222,7257,,,,,,0,291222,7257
"2020-06-28","AS",0,,0,,,,,0,,,696,0,,,,,,0,0,0,0,,,,,,,,0,696,0,,,,,,0,696,0
"2020-06-28","AZ",1588,1488,9,100,4617,4617,2691,22,,666,435988,11292,,,,,475,73908,73497,3857,0,,,,,,,,0,723634,13808,198787,,164333,,509485,15148,723634,13808
"2020-06-28","CA",5905,,33,,,,5956,0,,1602,,0,,,,,,211243,211243,4810,0,,,,,,,,0,3955952,93642,,,,,,0,3955952,93642
"2020-06-28","CO",1676,1344,2,332,5401,5401,234,2,,,287258,5569,97025,,,,,32307,29476,285,0,6858,,,,,,383351,7655,383351,7655,103883,,,,316734,5851,,0
"2020-06-28","CT",4316,3448,5,868,10268,10268,103,0,,,,0,,,429411,,,46303,44324,97,0,,,,,57294,8053,,0,488190,5325,,,,,,0,488190,5325
"2020-06-28","DC",550,,2,,,,126,0,,34,,0,,,,,27,10248,,32,0,,,,,,1199,93132,3861,93132,3861,,,,,72783,3084,,0
"2020-06-28","DE",507,449,0,58,,,78,0,,14,95120,1949,,,,,,11226,10162,135,0,,,,,13893,6665,135387,3119,135387,3119,,,,,106346,2084,,0
"2020-06-28","FL",3518,3518,29,,14540,14540,,108,,,1740822,43842,,226699,2070179,,,138499,,8354,0,,,9575,,182100,,2044514,64790,2044514,64790,,,236304,,1883244,52453,2256314,69914
"2020-06-28","GA",2778,,2,,10711,10711,1236,22,2268,,,0,,,,,,77210,77210,2225,0,8416,,,,70883,,,0,806462,17125,154116,,,,,0,806462,17125
"2020-06-28","GU",5,,0,,,,1,0,,,12130,227,,,,,,248,240,0,0,2,,,,,179,,0,12378,227,125,,,,,0,11523,0
"2020-06-28","HI",18,18,1,,110,110,,1,,,74606,1171,,,,,,872,,6,0,,,,,833,714,87457,1457,87457,1457,,,,,75478,1177,87882,1418
"2020-06-28","IA",705,,1,,,,118,0,,36,267426,5686,,29607,,,18,28489,28489,477,0,,,2276,,,17620,,0,295915,6163,,,31915,,296335,6164,,0
"2020-06-28","ID",91,71,1,20,312,312,48,3,111,18,81026,2118,,,,,,5319,4790,171,0,,,,,,3898,,0,85816,2279,,,,,85816,2279,,0
"2020-06-28","IL",7089,6888,15,201,,,1464,0,,373,,0,,,,,193,142776,141723,646,0,,,,,,,,0,1544978,23789,,,,,,0,1544978,23789
"2020-06-28","IN",2619,2427,3,192,7003,7003,617,21,1468,266,425605,7163,,,,,86,44930,,355,0,,,,,46926,,,0,599421,5424,,,,,470535,7518,599421,5424
"2020-06-28","KS",264,,0,,1128,1128,,0,356,,154321,0,,,,152,,13538,,0,0,,,,,,,,0,167859,0,,,,,167548,0,,0
"2020-06-28","KY",558,555,5,3,2590,2590,386,1,996,68,,0,,,,,,15232,14732,373,0,,,,,,3730,,0,357928,7632,33837,,,,,0,357928,7632
"2020-06-28","LA",3199,3086,9,113,,,715,0,,,639875,16638,,,,,76,56236,56236,1467,0,,,,,,39792,,0,696111,18105,,,,,,0,696111,18105
"2020-06-28","MA",8060,7860,19,200,11319,11319,748,9,,134,727127,9228,,,,,81,108667,103539,224,0,,,,,136938,93157,,0,1071326,6248,,,70476,,830666,9391,1071326,6248
"2020-06-28","MD",3168,3042,11,126,10793,10793,446,42,,158,452696,5330,,,,,,66777,66777,327,0,,,,,77679,4976,,0,625801,7564,,,,,519473,5657,625801,7564
"2020-06-28","ME",104,103,0,1,346,346,31,1,,10,,0,7023,,,,4,3191,2838,37,0,327,,,,3541,2577,,0,93330,1523,7359,,,,,0,93330,1523
"2020-06-28","MI",6158,5912,5,246,,,557,0,,193,,0,,,946733,,106,69946,63261,267,0,,,,,87087,51099,,0,1033820,15965,156996,,,,,0,1033820,15965
"2020-06-28","MN",1460,1425,8,35,4010,4010,288,24,1241,143,549868,15994,,,,,,35549,35549,516,0,,,,,,30809,585417,16510,585417,16510,,,,,,0,,0
"2020-06-28","MO",997,,1,,,,412,0,,,340598,5569,,39963,399926,,,20575,20575,314,0,,,1523,,23527,,,0,424214,0,,,41486,,361173,5883,424214,0
"2020-06-28","MP",2,,0,,,,,0,,,8187,0,,,,,,30,30,0,0,,,,,,19,,0,8217,0,,,,,,0,8217,0
"2020-06-28","MS",1039,1022,4,17,3102,3102,676,24,,149,254296,2506,,,,,88,25892,25724,361,0,,,,,,17242,,0,280188,2867,11843,,,,,0,280020,2862
"2020-06-28","MT",22,,0,,97,97,11,2,,,,0,,,,,,863,,11,0,,,,,,604,,0,82474,1227,,,,,,0,82474,1227
"2020-06-28","NC",1322,1322,10,,,,890,0,,,,0,,,,,,62142,62142,1605,0,,,,,,,,0,843116,20411,,,,,,0,843116,20411
"2020-06-28","ND",88,,1,,226,226,24,1,,,100430,1369,4699,,,,,3488,3488,35,0,179,,,,,3139,173483,3109,173483,3109,4878,,,,101419,1339,177200,3225
"2020-06-28","NE",267,,1,,1315,1315,123,3,,,154023,3949,,,190801,,,18775,,251,0,,,,,22877,13053,,0,214296,6371,,,,,173009,4209,214296,6371
"2020-06-28","NH",367,,0,,565,565,37,3,162,,111583,1191,,,,,,5747,,30,0,,,,,,4412,,0,147282,0,21628,,18980,,117330,1221,147282,0
"2020-06-28","NJ",14882,13121,27,1761,19841,19841,1014,18,,223,1216651,20274,,,,,187,172093,171182,331,0,,,,,,,,0,1388744,20605,,,,,,0,1387833,20583
"2020-06-28","NM",492,,1,,1865,1865,114,14,,,,0,,,,,,11809,,190,0,,,,,,5264,,0,331048,8089,,,,,,0,331048,8089
"2020-06-28","NV",500,,0,,,,511,0,,122,250420,3733,,,,,59,17160,17160,821,0,,,,,,,336695,6417,336695,6417,,,,,265938,4271,307131,5316
"2020-06-28","NY",24835,,5,,,,869,0,,229,,0,,,,,167,392539,,616,0,,,,,,,3816485,61906,3816485,61906,,,,,,0,,0
"2020-06-28","OH",2807,2564,3,243,7681,7681,661,57,1946,182,,0,,,,,101,50309,46790,854,0,,,,,55104,,,0,794228,21018,,,,,,0,794228,21018
"2020-06-28","OK",385,,1,,1456,1456,329,16,,134,313021,0,,,313021,,,12944,12944,302,0,1171,,,,13941,9397,,0,325965,302,34490,,,,,0,327683,0
"2020-06-28","OR",202,,0,,1022,1022,149,0,,53,219529,10479,,,329189,,35,8094,,276,0,,,,,17647,2649,,0,346836,8023,,,,,216344,0,346836,8023
"2020-06-28","PA",6579,,0,,,,648,0,,,657486,22775,,,,,121,85496,81956,1126,0,,,,,,66686,898189,15191,898189,15191,,,,,716667,0,,0
"2020-06-28","PR",153,59,1,94,,,99,0,,8,113280,0,,,112331,,5,1624,1624,22,0,5565,,,,2326,,,0,114904,22,,,,,,0,114723,0
"2020-06-28","RI",927,,0,,1984,1984,91,0,,16,134878,578,,,221992,,15,16835,,22,0,,,,,23998,,249912,3284,249912,3284,,,,,151713,600,245990,1472
"2020-06-28","SC",716,712,5,4,2622,2622,954,0,,,326482,7257,35645,,317085,,,33320,33221,1381,0,1752,,,,42618,13456,,0,359802,8638,37397,,,,,0,359703,8628
"2020-06-28","SD",91,,0,,652,652,75,7,,,72212,738,,,,,,6681,,55,0,,,,,11440,5752,,0,90424,1221,,,,,78893,793,90424,1221
"2020-06-28","TN",584,560,0,24,2564,2564,800,0,,,,0,,,701761,,,40172,39848,0,0,,,,,46468,26159,,0,748229,0,,,,,,0,748229,0
